---====BEGIN_TREE====---
x: 168	y: 84
x: 523	y: 49
x: 1049	y: 8
x: 1552	y: -11
x: 1876	y: 26
x: 2048	y: 162
x: 2171	y: 401
x: 1864	y: 338
x: 1626	y: 303
x: 1289	y: 135
x: 1008	y: 260
x: 706	y: 214
x: 335	y: 248
x: 133	y: 434
x: 493	y: 483
x: 862	y: 423
x: 1175	y: 430
x: 1527	y: 555
x: 1945	y: 556
x: 2299	y: 596
x: 2072	y: 776
x: 1768	y: 698
x: 1380	y: 766
x: 1054	y: 719
x: 691	y: 651
x: 381	y: 723
x: 130	y: 685
x: 109	y: 950
x: 594	y: 874
x: 1122	y: 993
x: 1577	y: 950
x: 1984	y: 949
x: 2250	y: 1025
x: 2007	y: 1231
x: 1777	y: 1104
x: 1455	y: 1118
x: 1031	y: 1161
x: 753	y: 1089
x: 366	y: 1018
x: 133	y: 1254
x: 543	y: 1285
x: 928	y: 1359
x: 1254	y: 1330
x: 1596	y: 1343
x: 1862	y: 1477
x: 2156	y: 1364
x: 2223	y: 1597
x: 1691	y: 1677
x: 1092	y: 1628
x: 609	y: 1522
x: 211	y: 1457
x: 229	y: 1733
x: 581	y: 1774
x: 897	y: 1792
x: 1417	y: 1748
x: 1984	y: 1694
x: 2237	y: 1879
x: 1861	y: 1939
x: 1285	y: 1939
x: 782	y: 1926
x: 403	y: 1906
x: 103	y: 2072
x: 743	y: 2138
x: 359	y: 2182
x: 1075	y: 2186
x: 1472	y: 2072
x: 1963	y: 2142
x: 2250	y: 2191
x: 2153	y: 2349
x: 1691	y: 2271
x: 1311	y: 2418
x: 892	y: 2334
x: 530	y: 2299
x: 185	y: 2342
x: 117	y: 2589
x: 453	y: 2500
x: 947	y: 2552
x: 1821	y: 2472
x: 2285	y: 2655
x: 1871	y: 2725
x: 1437	y: 2660
x: 1082	y: 2809
x: 787	y: 2780
x: 409	y: 2790
x: 114	y: 2909
x: 335	y: 3049
x: 679	y: 3045
x: 1076	y: 3043
x: 1421	y: 2920
x: 1689	y: 2847
x: 2063	y: 2836
x: 2239	y: 2956
x: 2100	y: 3115
x: 1836	y: 3019
x: 1621	y: 3136
x: 1202	y: 3244
x: 892	y: 3184
x: 493	y: 3211
x: 208	y: 3178
x: 1869	y: 3265
x: 2236	y: 3270
x: -54	y: -164
x: 1455	y: 195
---====END_TREE====---
